1	0.0	0.0	0.0	0.0
1.5	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
2.5	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
3.5	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
4.5	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
5.5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
6.5	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0
7.5	0.0	0.0	0.0	0.0
8	0.677506775068	1.01694915254	1.2706480305	0.108577633008
8.5	1.24416796267	1.69491525424	1.46412884334	0.70323488045
9	2.45398773006	2.51141552511	2.34375	1.40186915888
9.5	7.27272727273	7.75510204082	7.59878419453	5.29801324503
10	44.0677966102	44.0677966102	44.0677966102	29.4117647059
