1	62.6403104872	62.6403104872	62.6403104872	62.5355055794
1.5	62.753255161	62.753255161	62.753255161	62.5542798283
2	62.661430223	62.661430223	62.661430223	62.5709321888
2.5	62.6858992568	62.6858992568	62.6858992568	62.5557012876
3	62.8014797688	62.8014797688	62.8014797688	62.614742268
3.5	62.7493179191	62.7493179191	62.7493179191	62.6315257732
4	62.7225796862	62.7225796862	62.7225796862	62.6955876289
4.5	62.8617101569	62.8617101569	62.8617101569	62.684378866
5	62.8393261767	62.8393261767	62.8393261767	62.6683399142
5.5	62.8196242775	62.8196242775	62.8196242775	62.8206134021
6	62.9566705202	62.9566705202	62.9566705202	62.8016219931
6.5	62.9420900083	62.9420900083	62.9420900083	62.8383341924
7	62.990982659	62.990982659	62.990982659	62.986556701
7.5	66.6368768559	66.6368768559	66.6368768559	64.2820561404
8	67.1159391172	68.03936	67.728970128	69.5388435072
8.5	68.8605501792	70.305	68.529542024	69.8018778281
9	68.9849187192	70.5872792023	70.4055742574	71.9858727735
9.5	73.9732362869	78.2856505376	78.1515022831	75.4171767241
10	68.536	68.536	68.536	339.112941176
