1	62.6901493562	62.7577525773
1.5	62.7015896996	62.7870515464
2	62.6801373391	62.8313539519
2.5	62.6507055794	62.7984604811
3	62.7055670103	62.8822130584
3.5	62.7017800687	62.9193608247
4	62.7746872852	62.9969003436
4.5	62.7395472509	63.0309338488
5	64.1197622378	64.4447971781
5.5	67.1336458716	67.2995369979
6	67.889202952	68.2890163934
6.5	67.4798357798	73.230039261
7	69.3416275862	70.6879036145
7.5	69.9914129693	74.0929617978
8	71.9152076923	72.2514005602
8.5	71.3596045549	76.8176814516
9	70.4145623342	99.795741573
9.5	86.6345092593	76.5393675676
10	73.5952	1172.84114286
