1	62.8017374071	62.7498694158
1.5	62.9195309661	62.8602680412
2	62.821489678	62.7713814433
2.5	62.8430255987	62.7957525773
3	62.9625962015	62.9144948454
3.5	62.8909991742	62.8722061856
4	62.8571593724	62.8530412371
4.5	62.9767105045	63.0159672696
5	65.284109589	65.4430609319
5.5	71.6286050657	72.1357391304
6	68.6426124661	68.0693246187
6.5	68.8896157254	71.1121559633
7	69.7591893096	70.6452857143
7.5	69.8638073836	70.1438510638
8	71.3569237875	71.7085742574
8.5	71.5652960373	74.2943692308
9	72.3631389728	112.572962963
9.5	79.4438814433	73.8569354839
10	218.431272727	1612.08133333
