1	62.8152931462	62.8629033856
1.5	62.9245185797	62.9713889348
2	62.8282014864	62.9003137903
2.5	62.8458331957	62.9214137077
3	62.964716763	63.049017341
3.5	62.9196829067	63.0163435178
4	62.8855788604	63.0050602808
4.5	63.0454615385	63.1621632146
5	66.7001994751	66.839109553
5.5	73.5343416747	73.7323762089
6	68.746230441	68.7394202899
6.5	67.973915805	70.5786124314
7	67.2795783133	72.5469767442
7.5	70.0951210428	73.3163282051
8	69.3943462415	73.2430364372
8.5	75.9238844765	73.7071634615
9	76.1541131387	84.9364385965
9.5	100.200264151	84.6088774194
10	64.8525714286	65.8417142857
